train/loss_sparsity,train_params/lambda_sparsity,lr-Adam/f_dc,lr-Adam/opacity,train/loss_opaque,epoch,train_params/lambda_opaque,lr-Adam/xyz,lr-Adam/rotation,lr-Adam/f_rest,train_params/lambda_sds,lr-Adam/scaling,step
,,0.0125,0.01,,,,0.00023208055753404927,0.001,0.000625,,0.005,0
0.1391737014055252,1.0,,,0.05244837701320648,0,0.0,,,,1.0,,0
,,0.0125,0.01,,,,0.00023208055753404938,0.001,0.000625,,0.005,1
0.1385609358549118,1.0,,,0.03861333429813385,0,0.0,,,,1.0,,1
,,0.0125,0.01,,,,0.00023207519539652488,0.001,0.000625,,0.005,2
0.14293718338012695,1.0,,,0.08989585936069489,0,0.0,,,,1.0,,2
,,0.0125,0.01,,,,0.00023206983338289064,0.001,0.000625,,0.005,3
0.14282634854316711,1.0,,,0.06403489410877228,0,0.0,,,,1.0,,3
,,0.0125,0.01,,,,0.0002320644714931438,0.001,0.000625,,0.005,4
0.13937661051750183,1.0,,,0.08975568413734436,0,0.0,,,,1.0,,4
,,0.0125,0.01,,,,0.00023205910972728147,0.001,0.000625,,0.005,5
0.14751434326171875,1.0,,,0.06687502562999725,0,0.0,,,,1.0,,5
,,0.0125,0.01,,,,0.0002320537480853008,0.001,0.000625,,0.005,6
0.1282610446214676,1.0,,,0.04647897928953171,0,0.0,,,,1.0,,6
,,0.0125,0.01,,,,0.00023204838656719893,0.001,0.000625,,0.005,7
0.11838243156671524,1.0,,,0.03253763169050217,0,0.0,,,,1.0,,7
,,0.0125,0.01,,,,0.00023204302517297303,0.001,0.000625,,0.005,8
0.11664663255214691,1.0,,,0.03206159919500351,0,0.0,,,,1.0,,8
,,0.0125,0.01,,,,0.00023203766390261977,0.001,0.000625,,0.005,9
0.11584547907114029,1.0,,,0.028907477855682373,0,0.0,,,,1.0,,9
,,0.0125,0.01,,,,0.00023203230275613756,0.001,0.000625,,0.005,10
0.15091121196746826,1.0,,,0.06541755795478821,0,0.0,,,,1.0,,10
,,0.0125,0.01,,,,0.00023202694173352228,0.001,0.000625,,0.005,11
0.16500207781791687,1.0,,,0.0940748080611229,0,0.0,,,,1.0,,11
,,0.0125,0.01,,,,0.0002320215808347715,0.001,0.000625,,0.005,12
